model	corpus	E	depth	N	|C|	span1	active_fewer	resident	contrib_faith	lookup_HO	leaves
Qwen2.5-0.5B-Instruct	english	8	1	80	94	50%	74%	7	100%	31%	1
Qwen2.5-0.5B-Instruct	english	16	1	80	94	52%	81%	10	100%	31%	1
Qwen2.5-0.5B-Instruct	english	8	3	80	94	50%	74%	7	100%	31%	25
Qwen2.5-0.5B-Instruct	german	8	1	80	74	52%	70%	5	100%	19%	1
Qwen2.5-0.5B-Instruct	german	16	1	80	74	57%	79%	9	100%	19%	1
Qwen2.5-0.5B-Instruct	german	8	3	80	74	52%	70%	5	100%	19%	17
Qwen2.5-0.5B-Instruct	spanish	8	1	80	128	56%	68%	6	100%	0%	1
Qwen2.5-0.5B-Instruct	spanish	16	1	80	128	44%	73%	8	100%	0%	1
Qwen2.5-0.5B-Instruct	spanish	8	3	80	128	56%	68%	6	100%	0%	17
Qwen2.5-0.5B-Instruct	code	8	1	80	48	92%	67%	6	100%	0%	1
Qwen2.5-0.5B-Instruct	code	16	1	80	48	83%	83%	12	100%	0%	1
Qwen2.5-0.5B-Instruct	code	8	3	80	48	92%	67%	6	100%	0%	25
Qwen2.5-0.5B-Instruct	math	8	1	80	73	92%	57%	5	100%	6%	1
Qwen2.5-0.5B-Instruct	math	16	1	80	73	80%	63%	7	100%	6%	1
Qwen2.5-0.5B-Instruct	math	8	3	80	73	92%	57%	5	100%	6%	25
Qwen2.5-0.5B-Instruct	pooled_diverse	8	1	80	94	50%	74%	7	100%	31%	1
Qwen2.5-0.5B-Instruct	pooled_diverse	16	1	80	94	52%	81%	10	100%	31%	1
Qwen2.5-0.5B-Instruct	pooled_diverse	8	3	80	94	50%	74%	7	100%	31%	25
Qwen2.5-Coder-0.5B-Instruct	english	8	1	80	93	75%	66%	6	100%	25%	1
Qwen2.5-Coder-0.5B-Instruct	english	16	1	80	93	68%	79%	8	100%	25%	1
Qwen2.5-Coder-0.5B-Instruct	english	8	3	80	93	75%	66%	6	100%	25%	25
Qwen2.5-Coder-0.5B-Instruct	german	8	1	80	93	53%	71%	5	100%	19%	1
Qwen2.5-Coder-0.5B-Instruct	german	16	1	80	93	45%	78%	6	100%	19%	1
Qwen2.5-Coder-0.5B-Instruct	german	8	3	80	93	53%	71%	5	100%	19%	24
Qwen2.5-Coder-0.5B-Instruct	spanish	8	1	80	80	61%	76%	6	100%	0%	1
Qwen2.5-Coder-0.5B-Instruct	spanish	16	1	80	80	59%	85%	10	100%	0%	1
Qwen2.5-Coder-0.5B-Instruct	spanish	8	3	80	80	61%	76%	6	100%	0%	25
Qwen2.5-Coder-0.5B-Instruct	code	8	1	80	25	95%	63%	7	100%	0%	1
Qwen2.5-Coder-0.5B-Instruct	code	16	1	80	25	89%	87%	12	100%	0%	1
Qwen2.5-Coder-0.5B-Instruct	code	8	3	80	25	95%	63%	7	100%	0%	23
Qwen2.5-Coder-0.5B-Instruct	math	8	1	80	40	92%	67%	6	100%	6%	1
Qwen2.5-Coder-0.5B-Instruct	math	16	1	80	40	89%	81%	10	100%	6%	1
Qwen2.5-Coder-0.5B-Instruct	math	8	3	80	40	92%	67%	6	100%	6%	25
Qwen2.5-Coder-0.5B-Instruct	pooled_diverse	8	1	80	93	75%	66%	6	100%	25%	1
Qwen2.5-Coder-0.5B-Instruct	pooled_diverse	16	1	80	93	68%	79%	8	100%	25%	1
Qwen2.5-Coder-0.5B-Instruct	pooled_diverse	8	3	80	93	75%	66%	6	100%	25%	25
